full_name,rating,jersey,team,position,b_day,height (m),weight (lbs),salary,country,draft_year,draft_round,draft_peak,college
Skal Labissiere,70,#0,Atlanta Hawks,C-F,3/18/96,2.08,216,2338846.00,Haiti,2016,1,28,Kentucky
Tyler Lydon,70,#0,,F-C,4/9/96,2.06,220,50000.00,USA,2017,1,24,Syracuse
Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,6/10/97,2.01,205,1416852.00,Ukraine,2018,2,47,Kansas
Johnathan Motley,70,#15,Los Angeles Clippers,F,5/4/95,2.03,230,79568.00,USA,2017,Undrafted,Undrafted,Baylor
Abdel Nader,70,#11,Oklahoma City Thunder,F,9/25/93,1.96,225,1618520.00,Egypt,2016,2,58,Iowa State
Miles Plumlee,70,#0,,F-C,9/1/88,2.11,255,12500000.00,USA,2012,1,26,Duke
Caleb Swanigan,70,#50,Portland Trail Blazers,C,4/18/97,2.06,249,2033160.00,USA,2017,1,26,Purdue
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,4/3/99,2.06,214,1416852.00,USA,2018,2,41,Kentucky
Jemerrio Jones,70,#0,,F,4/9/95,1.96,201,195077.00,USA,2018,Undrafted,Undrafted,New Mexico State
Jordan Poole,70,#3,Golden State Warriors,G,6/19/99,1.93,194,1964760.00,USA,2019,1,28,Michigan
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/00,1.93,234,898310.00,USA,2019,2,46,Iowa State
Yante Maten,70,#0,,F-C,8/14/96,2.03,240,100000.00,USA,2018,Undrafted,Undrafted,Georgia
Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,7/18/92,1.98,215,1445697.00,Greece,2014,2,51,
Naz Reid,70,#11,Minnesota Timberwolves,C,8/26/99,2.06,249,898310.00,USA,2019,Undrafted,Undrafted,LSU
Ignas Brazdeikis,70,#17,New York Knicks,F,1/8/99,1.98,216,898310.00,Canada,2019,2,47,Michigan
Deonte Burton,70,#30,Oklahoma City Thunder,G,6/26/91,1.93,240,1416852.00,USA,2014,Undrafted,Undrafted,Iowa State
Justin James,70,#10,Sacramento Kings,G,1/24/97,2.01,190,898310.00,USA,2019,2,40,Wyoming
Henry Ellenson,69,#0,,F-C,1/13/97,2.08,242,79568.00,USA,2016,1,18,Marquette
Devonte Graham,69,#0,Charlotte Hornets,G,2/22/95,1.85,185,1416852.00,USA,2018,2,34,Kansas
Amile Jefferson,69,#0,,F-C,5/7/93,2.06,224,1529007.00,USA,2017,Undrafted,Undrafted,Duke
Khyri Thomas,69,#13,Detroit Pistons,G,5/8/96,1.91,210,1416852.00,USA,2018,2,38,Creighton
Theo Pinson,69,#0,New York Knicks,G,11/5/95,1.96,220,1445697.00,USA,2018,Undrafted,Undrafted,North Carolina
Gary Clark,69,#0,Orlando Magic,F,11/16/94,1.98,225,1427191.00,USA,2018,Undrafted,Undrafted,Cincinnati
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/96,1.96,215,1000000.00,USA,2019,2,48,Florida State
Cam Reynolds,69,#13,Milwaukee Bucks,G,2/7/95,2.01,225,79568.00,USA,2018,Undrafted,Undrafted,Tulane
Tyrone Wallace,69,#0,,G-F,6/10/94,1.96,200,502491.00,USA,2016,2,60,California
Miye Oni,69,#24,Utah Jazz,F,8/4/97,1.96,210,898310.00,USA,2019,2,58,Yale
Malcolm Miller,69,#13,Toronto Raptors,F,3/6/93,2.01,205,1588231.00,USA,2015,Undrafted,Undrafted,Holy Cross
Isaac Bonga,68,#17,Washington Wizards,G,11/8/99,2.03,200,1416852.00,Germany,2018,2,39,
Isaiah Hartenstein,68,#0,,F-C,5/5/98,2.13,250,1416852.00,Germany,2017,2,43,
Jordan McRae,68,#0,Detroit Pistons,G,3/28/91,1.96,179,1254933.00,USA,2014,2,58,Tennessee
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/2/95,1.83,180,522738.00,USA,2018,Undrafted,Undrafted,Florida Gulf Coast
Michael Frazier,68,#21,Houston Rockets,G,3/8/94,1.91,200,79568.00,USA,2015,2,60,Florida
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/97,2.08,200,79568.00,Greece,2018,Undrafted,Undrafted,Dayton
Jalen Lecque,68,#0,Phoenix Suns,G,6/13/00,1.91,190,898310.00,USA,2019,Undrafted,Undrafted,
Duncan Robinson,67,#55,Miami Heat,F,4/22/94,2.01,215,1416852.00,USA,2018,Undrafted,Undrafted,Michigan
